,,,,,,"Canon 80D Kit, T28-75mm lens, C75-300 lens",,,,,,,,
,,,,,,"Canon Rebel T6 Kit, C18-55mm lens",,,,,,,,
,,,,,,"Canon SL3 Kit (1), C75-300mm lens, C18-55mm lens",,,,,,,,
Rode Mic 1,,,,,,"Canon SL3 Kit (2), C75-300mm lens, C18-200mm lens",,,,,,,,
Rode Mic 2,,,,,,"Canon 70D Kit, C75-300mm lens, T18-200mm lens",,,,,,,,
Rode Mic 3,,,,,,"Canon 60D Kit, T18-270mm lens",,,,,,,,
Rode Mic 4,,,,,,"Canon 50D Kit, T18-270mm lens",,,,,,,,
Rode Mic 5,,,,,,"Canon Rebel T6 Kit (2), T28-75mm lens",,,,,,,,
Rode Mic 6,,,,,,"Canon R6 MK1, 24-105mm lens, 15-30mm lens",,,,,,,,
Rode Mic 7 Dual Mic,,,,,,"Canon R6 MK2 (1), 24-50mm lens",,,,,,,,
,,,,,,"Canon R6 MK2 (2), 24-50mm lens",,,,,,,,
,,,,,,"Canon R6 MK2 (3), 24-50mm lens",,,,,,,,
,,,,,,"Canon R6 MK2 (4), 24-50mm lens",,,,,,,,
,,,,,,"Canon R6 MK2 (5), 24-50mm lens",,,,,,,,
,,,,,,"Canon R6 MK2 (6), 24-50mm lens",,,,,,,,
,,,,,,"Canon M50 MK2 Kit (3), 15-45mm lens",,,,,,,,
,,,,,,,,,,,,,,
PRODUCT  DETAILS,,,,,,,,,,,,,,
Full Name,Brand,Model,Addt'l,Category,Kit,BARCODE/SKU,SKU (duplicate check),SKU Index,Similar SKUs Count,SKU (name only),Similar SKU Count (name only),Kit Barcodes/SKU,,
Canon 24-70mm Lens #2,Canon,24/70,,Lens,,CANON-24/70-LENS-2,CANON-24/70-LENS,2,3,,,,,
Canon 24-70mm Lens #3,Canon,24/70,,Lens,,CANON-24/70-LENS-3,CANON-24/70-LENS,3,3,,,,,
Canon 100-500mm Lens,Canon,100/500,,Lens,,CANON-100/500-LENS,CANON-100/500-LENS,,1,,,,,
Canon 70-200mm Lens #1,Canon,70/200,,Lens,,CANON-70/200-LENS-1,CANON-70/200-LENS,1,5,,,,,
Canon 70-200mm Lens #2,Canon,70/200,,Lens,,CANON-70/200-LENS-2,CANON-70/200-LENS,2,5,,,,,
Canon 70-200mm Lens #3,Canon,70/200,,Lens,,CANON-70/200-LENS-3,CANON-70/200-LENS,3,5,,,,,
Canon 70-200mm Lens #4,Canon,70/200,,Lens,,CANON-70/200-LENS-4,CANON-70/200-LENS,4,5,,,,,
Canon 70-200mm Lens #5,Canon,70/200,,Lens,,CANON-70/200-LENS-5,CANON-70/200-LENS,5,5,,,,,
Canon R5 Mk1,Canon,R5,Mk1,Body,,CANON-R5-MK1-BODY,CANON-R5-MK1-BODY,,1,,,,,
Canon R5 Mk2,Canon,R5,Mk2,Body,,CANON-R5-MK2-BODY,CANON-R5-MK2-BODY,,1,,,,,
Canon R6 Mk1,Canon,R6,Mk1,Body,,CANON-R6-MK1-BODY,CANON-R6-MK1-BODY,,1,,,,,
Canon R6 Mk2 #1,Canon,R6,Mk2,Body,,CANON-R6-MK2-BODY-1,CANON-R6-MK2-BODY,1,6,,,,,
Canon R6 Mk2 #2,Canon,R6,Mk2,Body,,CANON-R6-MK2-BODY-2,CANON-R6-MK2-BODY,2,6,,,,,
Canon R6 Mk2 #3,Canon,R6,Mk2,Body,,CANON-R6-MK2-BODY-3,CANON-R6-MK2-BODY,3,6,,,,,
Canon R6 Mk2 #4,Canon,R6,Mk2,Body,,CANON-R6-MK2-BODY-4,CANON-R6-MK2-BODY,4,6,,,,,
Canon R6 Mk2 #5,Canon,R6,Mk2,Body,,CANON-R6-MK2-BODY-5,CANON-R6-MK2-BODY,5,6,,,,,
Canon R6 Mk2 #6,Canon,R6,Mk2,Body,,CANON-R6-MK2-BODY-6,CANON-R6-MK2-BODY,6,6,,,,,
